"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2024-11-04T14:30:00.000Z","160.10","160.18","160.07","160.07","0.50","0.50","0"
"2024-11-04T14:31:00.000Z","159.95","159.95","159.67","159.67","-0.24","-0.24","0"
"2024-11-04T14:32:00.000Z","159.59","159.59","159.29","159.36","-0.20","-0.20","0"
"2024-11-04T14:33:00.000Z","159.36","159.37","159.23","159.27","-0.05","-0.05","0"
"2024-11-04T14:34:00.000Z","159.27","159.29","159.12","159.13","-0.09","-0.09","0"
"2024-11-04T14:35:00.000Z","159.14","159.36","159.12","159.36","0.14","0.14","0"
"2024-11-04T14:36:00.000Z","159.37","159.37","158.74","158.74","-0.39","-0.39","0"
"2024-11-04T14:37:00.000Z","158.54","158.56","158.34","158.34","-0.25","-0.25","0"
"2024-11-04T14:38:00.000Z","158.34","158.53","158.33","158.53","0.12","0.12","0"
"2024-11-04T14:39:00.000Z","158.56","158.69","158.56","158.69","0.10","0.10","0"
"2024-11-04T14:40:00.000Z","158.73","159.34","158.73","159.34","0.41","0.41","0"
"2024-11-04T14:41:00.000Z","159.43","159.69","159.43","159.69","0.22","0.22","0"
"2024-11-04T14:42:00.000Z","159.74","159.99","159.74","159.99","0.19","0.19","0"
"2024-11-04T14:43:00.000Z","160.01","160.23","160.00","160.23","0.15","0.15","0"
"2024-11-04T14:44:00.000Z","160.26","160.48","160.26","160.48","0.16","0.16","0"
"2024-11-04T14:45:00.000Z","160.52","160.52","160.46","160.51","0.02","0.02","0"
"2024-11-04T14:46:00.000Z","160.52","160.52","160.46","160.46","-0.03","-0.03","0"
"2024-11-04T14:47:00.000Z","160.45","160.45","160.25","160.32","-0.09","-0.09","0"
"2024-11-04T14:48:00.000Z","160.35","160.35","160.28","160.29","-0.01","-0.01","0"
"2024-11-04T14:49:00.000Z","160.29","160.33","160.23","160.33","0.02","0.02","0"
"2024-11-04T14:50:00.000Z","160.33","160.33","160.30","160.30","-0.02","-0.02","0"
"2024-11-04T14:51:00.000Z","160.25","160.36","160.24","160.36","0.04","0.04","0"
"2024-11-04T14:52:00.000Z","160.36","160.40","160.36","160.40","0.03","0.03","0"
"2024-11-04T14:53:00.000Z","160.38","160.38","160.25","160.25","-0.09","-0.09","0"
"2024-11-04T14:54:00.000Z","160.25","160.25","160.17","160.17","-0.05","-0.05","0"
"2024-11-04T14:55:00.000Z","160.15","160.15","160.01","160.04","-0.08","-0.08","0"
"2024-11-04T14:56:00.000Z","160.07","160.08","160.03","160.03","0","0","0"
"2024-11-04T14:57:00.000Z","160.04","160.18","160.04","160.17","0.08","0.08","0"
"2024-11-04T14:58:00.000Z","160.17","160.19","160.16","160.16","0","0","0"
"2024-11-04T14:59:00.000Z","160.14","160.17","160.13","160.17","0.01","0.01","0"
"2024-11-04T15:00:00.000Z","160.16","160.16","159.95","159.95","-0.14","-0.14","0"
"2024-11-04T15:01:00.000Z","160.06","160.10","160.05","160.10","0.09","0.09","0"
"2024-11-04T15:02:00.000Z","160.10","160.20","160.07","160.09","-0.01","-0.01","0"
"2024-11-04T15:03:00.000Z","160.08","160.10","160.07","160.09","0","0","0"
"2024-11-04T15:04:00.000Z","160.09","160.11","159.99","159.99","-0.06","-0.06","0"
"2024-11-04T15:05:00.000Z","159.99","160.00","159.90","159.90","-0.05","-0.05","0"
"2024-11-04T15:06:00.000Z","159.90","160.05","159.90","160.04","0.08","0.08","0"
"2024-11-04T15:07:00.000Z","160.04","160.08","159.92","159.92","-0.07","-0.07","0"
"2024-11-04T15:08:00.000Z","159.94","160.11","159.94","160.11","0.12","0.12","0"
"2024-11-04T15:09:00.000Z","160.11","160.27","160.11","160.27","0.10","0.10","0"
"2024-11-04T15:10:00.000Z","160.27","160.33","160.27","160.28","0.01","0.01","0"
"2024-11-04T15:11:00.000Z","160.29","160.29","160.27","160.28","0","0","0"
"2024-11-04T15:12:00.000Z","160.27","160.36","160.27","160.36","0.05","0.05","0"
"2024-11-04T15:13:00.000Z","160.37","160.56","160.37","160.56","0.13","0.13","0"
"2024-11-04T15:14:00.000Z","160.57","160.77","160.57","160.74","0.11","0.11","0"
"2024-11-04T15:15:00.000Z","160.74","160.74","160.72","160.74","0","0","0"
"2024-11-04T15:16:00.000Z","160.73","160.74","160.72","160.72","-0.01","-0.01","0"
"2024-11-04T15:17:00.000Z","160.72","160.74","160.72","160.74","0.01","0.01","0"
"2024-11-04T15:18:00.000Z","160.74","160.74","160.65","160.67","-0.04","-0.04","0"
"2024-11-04T15:19:00.000Z","160.66","160.66","160.62","160.63","-0.02","-0.02","0"
"2024-11-04T15:20:00.000Z","160.64","160.68","160.64","160.67","0.02","0.02","0"
"2024-11-04T15:21:00.000Z","160.67","160.68","160.62","160.62","-0.03","-0.03","0"
"2024-11-04T15:22:00.000Z","160.58","160.58","160.49","160.49","-0.08","-0.08","0"
"2024-11-04T15:23:00.000Z","160.49","160.49","160.40","160.42","-0.04","-0.04","0"
"2024-11-04T15:24:00.000Z","160.41","160.51","160.41","160.50","0.05","0.05","0"
"2024-11-04T15:25:00.000Z","160.50","160.52","160.50","160.50","0","0","0"
"2024-11-04T15:26:00.000Z","160.50","160.53","160.47","160.53","0.02","0.02","0"
"2024-11-04T15:27:00.000Z","160.53","160.60","160.53","160.58","0.03","0.03","0"
"2024-11-04T15:28:00.000Z","160.55","160.55","160.47","160.48","-0.06","-0.06","0"
"2024-11-04T15:29:00.000Z","160.48","160.48","160.40","160.40","-0.05","-0.05","0"
"2024-11-04T15:30:00.000Z","160.40","160.40","160.20","160.20","-0.12","-0.12","0"
"2024-11-04T15:31:00.000Z","160.19","160.19","160.17","160.18","-0.01","-0.01","0"
"2024-11-04T15:32:00.000Z","160.17","160.17","160.11","160.11","-0.04","-0.04","0"
"2024-11-04T15:33:00.000Z","160.12","160.13","160.05","160.05","-0.04","-0.04","0"
"2024-11-04T15:34:00.000Z","160.03","160.10","160.03","160.10","0.03","0.03","0"
"2024-11-04T15:35:00.000Z","160.08","160.15","160.07","160.15","0.03","0.03","0"
"2024-11-04T15:36:00.000Z","160.15","160.24","160.15","160.24","0.06","0.06","0"
"2024-11-04T15:37:00.000Z","160.24","160.31","160.24","160.30","0.03","0.03","0"
"2024-11-04T15:38:00.000Z","160.29","160.30","160.24","160.25","-0.03","-0.03","0"
"2024-11-04T15:39:00.000Z","160.25","160.28","160.25","160.28","0.02","0.02","0"
"2024-11-04T15:40:00.000Z","160.29","160.31","160.29","160.30","0.01","0.01","0"
"2024-11-04T15:41:00.000Z","160.30","160.36","160.30","160.36","0.04","0.04","0"
"2024-11-04T15:42:00.000Z","160.36","160.36","160.34","160.35","0","0","0"
"2024-11-04T15:43:00.000Z","160.37","160.42","160.37","160.42","0.04","0.04","0"
"2024-11-04T15:44:00.000Z","160.42","160.48","160.40","160.40","-0.01","-0.01","0"
"2024-11-04T15:45:00.000Z","160.39","160.39","160.28","160.28","-0.07","-0.07","0"
"2024-11-04T15:46:00.000Z","160.25","160.25","160.09","160.09","-0.12","-0.12","0"
"2024-11-04T15:47:00.000Z","160.09","160.13","160.09","160.13","0.02","0.02","0"
"2024-11-04T15:48:00.000Z","160.15","160.16","160.12","160.12","0","0","0"
"2024-11-04T15:49:00.000Z","160.12","160.14","160.11","160.14","0.01","0.01","0"
"2024-11-04T15:50:00.000Z","160.13","160.15","160.13","160.13","0","0","0"
"2024-11-04T15:51:00.000Z","160.13","160.13","160.10","160.13","0","0","0"
"2024-11-04T15:52:00.000Z","160.13","160.13","160.10","160.10","-0.02","-0.02","0"
"2024-11-04T15:53:00.000Z","160.08","160.09","160.06","160.06","-0.02","-0.02","0"
"2024-11-04T15:54:00.000Z","160.06","160.07","160.06","160.07","0","0","0"
"2024-11-04T15:55:00.000Z","160.07","160.09","160.01","160.01","-0.04","-0.04","0"
"2024-11-04T15:56:00.000Z","160.02","160.03","160.00","160.00","-0.01","0","0"
"2024-11-04T15:57:00.000Z","159.98","159.99","159.96","159.99","-0.01","-0.01","0"
"2024-11-04T15:58:00.000Z","160.00","160.00","159.96","159.97","-0.01","-0.01","0"
"2024-11-04T15:59:00.000Z","159.98","159.98","159.98","159.98","0","0.01","0"
"2024-11-04T16:00:00.000Z","160.00","160.00","159.94","159.94","-0.03","-0.03","0"
"2024-11-04T16:01:00.000Z","159.93","159.93","159.87","159.87","-0.04","-0.04","0"
"2024-11-04T16:02:00.000Z","159.86","159.87","159.85","159.85","-0.01","-0.01","0"
"2024-11-04T16:03:00.000Z","159.86","159.86","159.80","159.80","-0.03","-0.03","0"
"2024-11-04T16:04:00.000Z","159.80","159.80","159.78","159.79","-0.01","-0.01","0"
"2024-11-04T16:05:00.000Z","159.79","159.79","159.74","159.74","-0.03","-0.03","0"
"2024-11-04T16:06:00.000Z","159.72","159.76","159.72","159.76","0.01","0.01","0"
"2024-11-04T16:07:00.000Z","159.79","159.80","159.79","159.79","0.02","0.02","0"
